# radius, density, mass, x, y, vx, vy,
100000000, 10000000, 3.14159265359e+31, 0, 0, 0, 0,
43590.9895705, 4691.73131166, 1.22088059206e+18, 7.93678357586e+13, 1.33208137421e+14, -3158.99066976, 1882.18420807,
32640.7547256, 863.013987268, 9.42862326932e+16, 1.05090701246e+15, -1.34983434152e+14, 179.214096094, 1395.26269649,
57973.5507108, 1056.68456543, 6.46822230938e+17, -2.79367047761e+14, -6.54854885975e+14, 1578.460377, -673.385546896,
55957.5419904, 1617.54137326, 8.90391813506e+17, -1.38524347639e+13, 3.2399998947e+14, -2540.39169554, -108.612998089,
72626.4005902, 4261.37818906, 5.12841915652e+18, -3.46040163401e+14, 2.43923080915e+14, -1282.15526051, -1818.92264638,
47350.8430592, 6537.04431195, 2.18029093446e+18, -6.40934353065e+13, 2.19524164021e+13, -1802.60089105, -5262.96884488,
17486.5197628, 1562.55651506, 2.62479721066e+16, -2.617004659e+14, 1.53247157569e+14, -1328.6768301, -2268.98397977,
84612.5909243, 2621.17614656, 4.98828273435e+18, -1.29997772923e+14, -1.41835626398e+14, 2433.62979819, -2230.51472976,
25845.6520651, 9231.69467879, 5.00718671045e+17, 3.96373486624e+14, -2.72315971899e+14, 1182.37324201, 1721.020626,
15308.3485703, 3325.06568076, 3.74744380184e+16, -2.64610823035e+14, -1.23483370592e+15, 1259.91158222, -269.984726788,
41341.2979517, 5129.50532375, 1.13861704386e+18, 1.4489939007e+14, -2.67785262305e+13, 685.513472402, 3709.33348538,
16746.3348785, 7684.37275406, 1.13375081164e+17, -7.2383949262e+14, 2.81232427199e+14, -595.081414956, -1531.62789142,
13738.9633433, 5759.74756264, 4.69261815769e+16, 2.13537839246e+14, -9.52088910859e+14, 1430.3532309, 320.804637888,
13702.3117011, 9701.85643648, 7.8412670434e+16, 5.70557346634e+14, -9.93223251742e+14, 1173.16084514, 673.922542393,
97570.4585625, 7532.6871378, 2.19813742653e+19, -1.4904177211e+13, -1.77647035578e+13, 7284.66106286, -6111.6628853,
9515.35854854, 7680.81303661, 2.07889492619e+16, 4.34974209858e+14, 7.98137539471e+14, -1333.58774155, 726.787358656,
27117.6358252, 5165.12762606, 3.2358352523e+17, -3.22616258333e+13, 3.83360850225e+14, -2326.29896178, -195.769042763,
81813.7238959, 9475.33829507, 1.63013315092e+19, 8.23303263374e+14, 1.02948017675e+15, -984.94698354, 787.688859011,
48020.7308762, 6967.26012318, 2.42380789171e+18, 4.99282238117e+14, 3.02164907521e+14, -981.389938073, 1621.59983688,
710.516266016, 4950.84954153, 5.57893980039e+12, 3.25555703252e+14, 6.66196497395e+14, -1510.82544288, 738.307453537,
95594.4890189, 1892.65919692, 5.19422622331e+18, 4.66110677646e+14, -6.85532217903e+13, 306.967054139, 2087.14656851,
72342.8274303, 4833.47940956, 5.74905126624e+18, -1.08441165802e+15, 1.2779493944e+14, -162.180243361, -1376.19022608,
73370.9099176, 9627.32626943, 1.19461311454e+19, -1.08531156742e+15, 9.8109238657e+13, -124.880729627, -1381.46521436,
97924.0686034, 3258.1331653, 9.61140885348e+18, -1.62988028384e+13, 5.16388891472e+13, -5933.99075718, -1872.94783046,
63821.7300199, 6293.71267837, 5.13999270526e+18, -1.91633303049e+14, -9.06788350269e+14, 1471.57866214, -310.991511568,
80085.4146561, 3825.92897773, 6.17372189541e+18, 9.65767666655e+14, -2.66582267963e+14, 384.92185415, 1394.48540133,
48871.9082779, 9718.63220598, 3.56396073559e+18, -2.32564872101e+14, -5.86148051965e+14, 1694.90258741, -672.48334639,
21074.0835254, 7495.05968532, 2.20379431969e+17, -2.30341808059e+14, -2.73434868383e+14, 1852.09257767, -1560.20464966,
1349.17709415, 6972.48248371, 5.37952812537e+13, 5.07414317697e+14, -2.20900337115e+14, 776.944616489, 1784.66374299,
70405.5425474, 8292.19154202, 9.09158799728e+18, -5.5079399362e+14, -5.43547312073e+14, 1156.20386335, -1171.61860466,
77851.6554218, 5726.0150164, 8.4880105476e+18, -5.12837430767e+14, 1.28631456648e+14, -484.476375561, -1931.54634321,
63300.6940125, 6708.16309256, 5.34538388673e+18, -3.61889334023e+14, 5.35984367679e+14, -1492.27391289, -1007.56299079,
85216.0030492, 3624.73311804, 7.04675852296e+18, -7.83612031133e+13, 2.61585251364e+14, -2654.42147607, -795.165856446,
75119.4161072, 6379.91077172, 8.49612881077e+18, -8.18609551099e+13, -3.81222616729e+14, 2267.23039067, -486.848463575,
32625.7759477, 5130.29543524, 5.59725117553e+17, 1.32749324032e+14, -9.43369897732e+13, 2078.48637772, 2924.80884026,
44407.4128707, 5940.19558839, 1.63424451006e+18, -2.89497897411e+13, -6.53415793441e+14, 1788.68750543, -79.2483556635,
67931.3255963, 9150.29593004, 9.01146251919e+18, -1.41076124198e+14, -1.26252699643e+15, 1276.75012456, -142.665431829,
7315.00371664, 2230.34024866, 2.74261374227e+15, 7.52317653861e+14, 8.89661109892e+14, -1024.3370135, 866.202658737,
97079.9822001, 9283.13452031, 2.66829339129e+19, 1.03984601296e+15, 2.35766206873e+14, -310.07574587, 1367.58796918,
35316.7836936, 7186.19170676, 9.94470964784e+17, 1.31086905984e+15, -2.97959193449e+14, 276.807496206, 1217.81233903,
57956.2465511, 6558.28811419, 4.01089338891e+18, -1.06346662778e+15, 5.13115282732e+14, -579.065690152, -1200.15337195,
46015.5833132, 1635.26020414, 5.00554690847e+17, -8.77675019697e+13, -7.84532020016e+13, 2812.56371458, -3146.48331822,
77701.2270135, 2825.08720484, 4.1635651221e+18, -1.55086535638e+14, 4.70674865151e+14, -1953.59916908, -643.707471101,
91194.22903, 4310.94995837, 1.02712883747e+19, -3.6504468037e+13, 8.98848756922e+14, -1525.41472336, -61.9508594556,
77180.3270995, 3840.82289385, 5.54745769321e+18, -6.58212416867e+14, -9.8775018968e+14, 1106.00327825, -737.013364763,
29423.2425264, 757.562525154, 6.06233526276e+16, 9.18161588924e+14, -3.57606184847e+14, 529.408871408, 1359.26869042,
42473.9739038, 8692.88522206, 2.09258209848e+18, 4.74387573424e+14, -9.39610702625e+14, 1259.90293919, 636.095668559,
83786.2874925, 5156.7950354, 9.52902761451e+18, 3.4959957799e+14, -1.99839104089e+14, 1132.39953817, 1981.02569798,
32511.8843037, 6474.89295631, 6.99051043105e+17, 7.63588300109e+14, 1.811493597e+14, -377.295487199, 1590.39159833,
67056.6278883, 3888.81172134, 3.68376502247e+18, 1.14307591569e+15, -5.15027035131e+14, 531.232305098, 1179.04267576,
70417.8308737, 3453.66088907, 3.78858900373e+18, 9.9543614313e+14, -4.81315031067e+14, 599.439768024, 1239.73691285,
23633.7424434, 1240.51244544, 5.14456304143e+16, -4.46569471906e+14, 1.30485854131e+14, -595.404340645, -2037.68756194,
66611.6457374, 9113.28784494, 8.46204735635e+18, 1.31969028004e+13, 4.60419831576e+13, -6360.2444903, 1823.0215679,
7220.81692314, 3197.13237139, 3.78154691324e+15, 5.39289981936e+14, 4.064729378e+14, -1060.56555806, 1407.11060309,
96972.336956, 9141.61533733, 2.61888483828e+19, -2.89902886418e+14, -9.25403477866e+14, 1403.16714429, -439.572807955,
39425.1208774, 3190.02932276, 6.14134716627e+17, -1.10589009912e+14, -1.48583472394e+14, 2698.9926318, -2008.82990619,
65839.6450205, 3660.43002895, 3.28204419045e+18, -1.54052756431e+12, 4.04148393043e+13, -7194.89879699, -274.254212313,
5153.53245799, 4194.9101644, 1.80379668469e+15, 3.90608581583e+14, -7.36385918424e+14, 1401.07130707, 743.184330743,
17909.0373969, 5247.08477068, 9.46857630309e+16, 6.59316129025e+14, -3.79517350393e+14, 828.212943445, 1438.8120894,
56185.8310454, 5376.36683932, 2.99584398752e+18, 6.0125812293e+14, -7.34919763717e+14, 1150.11400911, 940.939983404,
67385.3633102, 9195.67091305, 8.83954713764e+18, 3.78226031563e+14, 7.32409137098e+14, -1417.0664154, 731.792354314,
25797.3611114, 9039.68472084, 4.87561051881e+17, 7.23013468558e+13, 1.34936316537e+14, -3262.07603506, 1747.88001432,
12461.9526619, 7719.74072479, 4.69365191337e+16, 8.24652685743e+13, -2.71866014095e+14, 2599.68535452, 788.563997903,
96078.5383332, 4680.98517097, 1.30426638184e+19, 2.39141499278e+13, -1.00593340896e+13, 3485.69046654, 8286.56486364,
2855.9475475, 3291.68817031, 2.40890259848e+14, -1.0264820009e+15, -8.5022921657e+14, 800.055408975, -965.907147194,
76156.9826703, 3346.19213382, 4.64333410327e+18, 8.7836063682e+14, -9.96762480636e+13, 173.653152365, 1530.2551657,
41773.3147602, 1534.38160394, 3.51382453454e+17, -3.85371452422e+13, 3.29915945119e+14, -2495.46903588, -291.493194269,
13165.9294395, 6204.61855777, 4.44856079264e+16, -6.97457557086e+13, 3.44489324572e+14, -2393.83964257, -484.659880603,
91764.67251, 3507.47974023, 8.51474411244e+18, -6.86639521256e+14, 4.02026164427e+14, -820.197993913, -1400.85498832,
55752.7620373, 8648.60776012, 4.70863727582e+18, 9.32861555172e+14, -3.90477889627e+14, 555.97098376, 1328.22874309,
10115.152352, 3305.89837241, 1.07487176911e+16, 2.6466758443e+14, 3.57253890722e+14, -1744.91450911, 1292.70056998,
29071.903643, 7429.3647243, 5.73484868744e+17, 6.23188672135e+14, 5.3886432844e+14, -1043.44707149, 1206.73119485,
1598.58494901, 7128.69049346, 9.14885598103e+13, -6.43529111986e+14, -1.42203878395e+14, 384.856090478, -1741.6268877,
47229.5753001, 4814.49078204, 1.5934643557e+18, 4.0279483278e+14, -6.94345034577e+14, 1397.96917994, 810.972548267,
25651.173987, 1230.72664256, 6.52579180492e+16, -1.44671258548e+14, -6.20214508989e+14, 1767.0134861, -412.173628965,
26455.1709241, 6619.63991844, 3.85048959667e+17, -9.90685548171e+14, 5.30322614879e+14, -644.663478597, -1204.28353188,
80758.4442385, 4346.41001049, 7.19191253058e+18, 1.16618323751e+15, -3.87491895858e+13, 44.5165042665, 1339.75449869,
45305.6160347, 4560.30566383, 1.33229361292e+18, -3.75573732962e+14, 5.33008411073e+14, -1465.860722, -1032.88948528,
58420.6902877, 7466.50969218, 4.67700203104e+18, 2.56582221187e+13, -9.35632391187e+12, 3001.71400356, 8231.72063787,
64516.9555049, 8201.81421167, 6.91960646581e+18, -1.07315294684e+15, -5.94141941415e+13, 77.2091810567, -1394.5701254,
63688.7951715, 706.84916028, 5.73674728499e+17, 1.25661965998e+15, 4.1014486412e+14, -390.775665725, 1197.27546813,
37267.4786877, 1084.40157492, 1.76331559169e+17, -4.25504474153e+12, -2.58128948627e+14, 2849.45095139, -46.9708699913,
20450.4277239, 2332.90457153, 6.2683614949e+16, -3.95403366247e+14, 9.44031325297e+14, -1320.16070974, -552.943503708,
80716.0996346, 8256.94155126, 1.36411060818e+19, 1.09365921957e+15, 2.35867904647e+14, -288.606036889, 1338.19246641,
72008.4653485, 595.034832033, 6.97979918378e+17, 1.51222532272e+14, -4.16826508139e+14, 2044.15993014, 741.610802023,
4708.45783409, 7952.25384361, 2.60781130653e+15, -7.70020335792e+14, -6.06026035487e+14, 904.666327542, -1149.47449206,
47047.3006322, 4471.71112398, 1.46294414255e+18, -2.34420546286e+14, -3.61942188067e+14, 1850.76426126, -1198.69190019,
5446.87890737, 696.725080543, 3.53715815115e+14, 8.56455968916e+14, 6.1105070425e+14, -819.905987118, 1149.19002913,
5691.41348297, 9153.3885835, 5.30141969839e+15, -2.19782350544e+14, -5.62803635543e+14, 1735.23656999, -677.633099747,
39443.6669228, 9569.05271112, 1.84480585365e+18, -1.33429854679e+13, -8.55787337018e+12, 6209.05100798, -9680.82533886,
71305.3521035, 9538.12728856, 1.08637402424e+19, -1.54625404347e+14, 7.0077333931e+14, -1669.14883536, -368.297135616,
85993.0811636, 8378.52962923, 1.6738179194e+19, -4.37280944004e+14, 6.40099184944e+14, -1357.97293736, -927.693241841,
18232.5796715, 6015.86789249, 1.1454932208e+17, 2.83859429207e+13, 1.47165243318e+13, -3727.15507117, 7189.11671814,
9009.37880947, 6379.47521797, 1.46561320908e+16, 2.44307681563e+14, -3.01144222098e+14, 1805.77161695, 1464.95879647,
77351.1178285, 4335.26217751, 6.30325710734e+18, 4.3020958164e+14, 3.07649545915e+14, -1158.16849483, 1619.55442563,
66327.5584451, 1224.91524906, 1.12289189426e+18, 9.42848692718e+14, 4.79825888148e+14, -638.516234925, 1254.67218891,
75130.449908, 8145.27879423, 1.0851850327e+19, -3.7732697765e+13, 1.95247910375e+14, -3188.09756976, -616.116822014,
6670.81455925, 2529.17233882, 2.35865759888e+15, -2.28333976216e+13, 5.97534492464e+14, -1871.16150334, -71.5021060021,
77519.1535632, 3026.09350524, 4.42852684937e+18, 1.45782614293e+14, -9.58903368126e+14, 1453.57625767, 220.988009804,
64364.4256072, 8732.27551001, 7.31501121102e+18, -9.73829247701e+14, 7.25103107666e+14, -784.817420722, -1054.02686918,
43321.8087699, 271.851895957, 6.94387639953e+16, 3.25680167366e+14, 7.55348563422e+14, -1466.07872646, 632.122424173,
92225.314213, 4268.74624717, 1.05196343025e+19, -6.31078789822e+14, 2.0573865292e+14, -550.882296557, -1689.76576891,
31569.2821756, 194.486643334, 1.9223558096e+16, -3.4514932647e+13, 2.37132067227e+12, -533.597649118, -7766.59484954,
76342.2811754, 1154.71532651, 1.61406195787e+18, 8.61792647294e+14, 7.97568338579e+14, -907.631492504, 980.718653006,
92544.9803929, 7285.3196522, 1.8140827249e+19, -6.31658037784e+13, -3.18480750466e+14, 2492.63823997, -494.376811554,
42567.82497, 1671.65756333, 4.05080717806e+17, -3.58292083591e+14, -1.68550274182e+14, 979.545230885, -2082.24699395,
79036.5234214, 1892.03365063, 2.93468988397e+18, -4.20421655441e+14, 1.61280006188e+14, -772.863588381, -2014.68611602,
27749.6630279, 7068.56491915, 4.74519719363e+17, 4.83883871303e+13, 2.30157974237e+14, -2921.91114259, 614.302276498,
94483.3911761, 8325.22565937, 2.20603452129e+19, -4.08780277579e+14, -2.0187604576e+14, 949.581124267, -1922.81374494,
26595.8536085, 6995.08688968, 4.13413626765e+17, -1.13282893748e+15, -5.64582871208e+14, 574.100102607, -1151.92515114,
74050.6514617, 7199.06547777, 9.18359339615e+18, 5.5828777394e+14, 1.0894278779e+15, -1164.70416338, 596.863829046,
82436.2669467, 8073.89928413, 1.4209806075e+19, -7.21200954108e+14, -8.92887101247e+12, 21.1071805772, -1704.86489832,
20402.0468343, 6300.77678299, 1.68099022271e+17, 8.50232112151e+14, -8.52802988023e+14, 934.443627785, 931.62663651,
12412.4183555, 3897.05476028, 2.3412920785e+16, 7.1578944971e+13, 2.44165224278e+14, -2754.68096545, 807.556267774,
8952.70272852, 1648.88433455, 3.71708555333e+15, -3.14647037211e+13, 1.18964534869e+14, -3990.57489294, -1055.45956887,
64784.9976007, 3227.76760134, 2.75724572353e+18, -1.69564638127e+13, -2.09279520113e+11, 137.227838971, -11118.6172653,
59246.7493826, 5164.19227174, 3.37400606127e+18, 7.87225970977e+14, -8.67992238001e+14, 990.82941436, 898.6332062,
23381.5168961, 4921.7040574, 1.97643901174e+17, -4.74537294089e+14, -1.90408172357e+14, 754.090474868, -1879.35238815,
34773.7082147, 2197.23588765, 2.90254908894e+17, -6.39979761437e+14, -8.27234760938e+14, 1119.86621744, -866.370404776,
26900.9412577, 9404.24238271, 5.75143366408e+17, -4.71987275938e+14, -1.21156613211e+14, 515.744705755, -2009.17582867,
58159.2387512, 4116.60242581, 2.54416303601e+18, -7.27327352767e+14, -2.98274109886e+14, 619.664650399, -1511.02303163,
48853.9908874, 3932.35970232, 1.4404667925e+18, 3.77520754366e+14, 8.44258031717e+14, -1374.53829211, 614.642340904,
76531.3858119, 3550.53021271, 4.99990574946e+18, 7.37191733451e+13, -1.53566347931e+13, 1076.11109788, 5165.84666052,
45134.5005834, 684.973085764, 1.97856036079e+17, 4.28500768714e+14, 9.67360726336e+13, -481.102740432, 2131.08604157,
68307.2708953, 5653.76886759, 5.66094226021e+18, 1.9266344894e+13, 7.97905728555e+12, -3836.71439372, 9264.18499376,
63848.2267287, 3263.56048899, 2.66862812826e+18, 3.2674115512e+14, -3.13423887078e+14, 1489.68267296, 1552.97875303,
88900.7683254, 3244.8309793, 7.16239874683e+18, 8.19879958695e+13, 9.23319029322e+14, -1498.07630806, 133.024740373,
57068.6651784, 8709.51235555, 5.08553744262e+18, 2.98043348781e+14, -2.98538545168e+14, 1577.74066444, 1575.1236105,
68968.211232, 557.742422195, 5.74818103892e+17, 5.17625034962e+14, -7.58491112418e+14, 1248.11159375, 851.761868762,
34197.8318904, 3936.99220995, 4.94663820468e+17, 1.4906944518e+13, -2.70978256448e+13, 7214.15775676, 3968.62282729,
8447.54859091, 1149.22279751, 2.17643750399e+15, -8.35075328429e+14, -4.31006086121e+14, 685.074398249, -1327.33329421,
92799.1725423, 6418.19056814, 1.61136821236e+19, 6.53654011042e+14, -7.58737281222e+14, 1096.22917048, 944.404093541,
82448.915553, 4729.76399893, 8.32806655532e+18, -6.34836626274e+13, -3.32911885621e+14, 2443.25791344, -465.909953317,
