# Info, Time [s]
Iteration 10, 0.020274
Iteration 20, 0.020242
Iteration 30, 0.019867
Iteration 40, 0.020535
Iteration 50, 0.020557
Iteration 60, 0.020223
Iteration 70, 0.020008
Iteration 80, 0.020199
Iteration 90, 0.020568
Iteration 100, 0.020287
Iteration 110, 0.020155
Iteration 120, 0.020165
Iteration 130, 0.020597
Iteration 140, 0.020388
Iteration 150, 0.020385
Iteration 160, 0.020232
Iteration 170, 0.020102
Iteration 180, 0.020429
Iteration 190, 0.020436
Iteration 200, 0.020228
Iteration 210, 0.020395
Iteration 220, 0.020515
Iteration 230, 0.02043
Iteration 240, 0.020726
Iteration 250, 0.020475
Iteration 260, 0.020407
Iteration 270, 0.020593
Iteration 280, 0.020258
Iteration 290, 0.020598
Iteration 300, 0.020453
Iteration 310, 0.020477
Iteration 320, 0.020515
Iteration 330, 0.020332
Iteration 340, 0.020403
Iteration 350, 0.020392
Iteration 360, 0.020513
Iteration 370, 0.020937
Iteration 380, 0.020596
Iteration 390, 0.02039
Iteration 400, 0.020449
Iteration 410, 0.020429
Iteration 420, 0.020176
Iteration 430, 0.020865
Iteration 440, 0.020524
Iteration 450, 0.020428
Iteration 460, 0.020453
Iteration 470, 0.020481
Iteration 480, 0.020431
Iteration 490, 0.020386
Iteration 500, 0.020296
Iteration 510, 0.020389
Iteration 520, 0.020592
Iteration 530, 0.020238
Iteration 540, 0.02049
Iteration 550, 0.020545
Iteration 560, 0.020597
Iteration 570, 0.019967
Iteration 580, 0.02016
Iteration 590, 0.020421
Iteration 600, 0.020535
Iteration 610, 0.020688
Iteration 620, 0.019906
Iteration 630, 0.020402
Iteration 640, 0.02011
Iteration 650, 0.020358
Iteration 660, 0.019892
Iteration 670, 0.020149
Iteration 680, 0.020626
Iteration 690, 0.020433
Iteration 700, 0.020202
Iteration 710, 0.020312
Iteration 720, 0.020057
Iteration 730, 0.020095
Iteration 740, 0.020313
Iteration 750, 0.020499
Iteration 760, 0.01956
Iteration 770, 0.02014
Iteration 780, 0.020027
Iteration 790, 0.020226
Iteration 800, 0.020484
