# Info, Time [s]
Iteration 10, 0.025944
Iteration 20, 0.020414
Iteration 30, 0.020511
Iteration 40, 0.020348
Iteration 50, 0.02062
Iteration 60, 0.020382
Iteration 70, 0.019931
Iteration 80, 0.020562
Iteration 90, 0.019797
Iteration 100, 0.020084
Iteration 110, 0.019952
Iteration 120, 0.019926
Iteration 130, 0.019962
Iteration 140, 0.019914
Iteration 150, 0.020157
Iteration 160, 0.020103
Iteration 170, 0.020075
Iteration 180, 0.020014
Iteration 190, 0.019837
Iteration 200, 0.019668
Iteration 210, 0.020573
Iteration 220, 0.020175
Iteration 230, 0.02004
Iteration 240, 0.019893
Iteration 250, 0.020127
Iteration 260, 0.020517
Iteration 270, 0.020536
Iteration 280, 0.020044
Iteration 290, 0.020156
Iteration 300, 0.020016
Iteration 310, 0.019631
Iteration 320, 0.019851
Iteration 330, 0.020005
Iteration 340, 0.019852
Iteration 350, 0.020447
Iteration 360, 0.020062
Iteration 370, 0.02054
Iteration 380, 0.019552
Iteration 390, 0.020127
Iteration 400, 0.020507
Iteration 410, 0.020373
Iteration 420, 0.019706
Iteration 430, 0.020229
Iteration 440, 0.02077
Iteration 450, 0.020486
Iteration 460, 0.020884
Iteration 470, 0.021226
Iteration 480, 0.02131
Iteration 490, 0.020735
Iteration 500, 0.020629
Iteration 510, 0.020599
Iteration 520, 0.020616
Iteration 530, 0.020511
Iteration 540, 0.019948
Iteration 550, 0.020295
Iteration 560, 0.020138
Iteration 570, 0.020059
Iteration 580, 0.020128
Iteration 590, 0.020523
Iteration 600, 0.020463
Iteration 610, 0.020449
Iteration 620, 0.020654
Iteration 630, 0.020178
Iteration 640, 0.020259
Iteration 650, 0.020327
Iteration 660, 0.020468
Iteration 670, 0.020047
Iteration 680, 0.020362
Iteration 690, 0.020389
Iteration 700, 0.020165
Iteration 710, 0.020276
Iteration 720, 0.020428
Iteration 730, 0.020516
Iteration 740, 0.020058
Iteration 750, 0.020463
Iteration 760, 0.020365
Iteration 770, 0.020661
Iteration 780, 0.020033
Iteration 790, 0.020459
Iteration 800, 0.020979
Iteration 810, 0.020581
Iteration 820, 0.020527
Iteration 830, 0.0204
Iteration 840, 0.020837
Iteration 850, 0.020107
Iteration 860, 0.020346
Iteration 870, 0.020311
Iteration 880, 0.020323
Iteration 890, 0.020112
Iteration 900, 0.020233
Iteration 910, 0.020223
Iteration 920, 0.020291
Iteration 930, 0.0202
Iteration 940, 0.020381
Iteration 950, 0.020404
Iteration 960, 0.020366
Iteration 970, 0.020397
Iteration 980, 0.020406
Iteration 990, 0.020717
Iteration 1000, 0.020888
Iteration 1010, 0.020362
Iteration 1020, 0.020398
Iteration 1030, 0.021242
Iteration 1040, 0.020391
Iteration 1050, 0.020423
Iteration 1060, 0.020448
Iteration 1070, 0.020432
Iteration 1080, 0.020419
Iteration 1090, 0.020359
Iteration 1100, 0.020399
Iteration 1110, 0.020405
Iteration 1120, 0.020397
Iteration 1130, 0.020424
Iteration 1140, 0.020469
Iteration 1150, 0.020421
Iteration 1160, 0.020429
Iteration 1170, 0.020428
Iteration 1180, 0.020367
Iteration 1190, 0.020436
Iteration 1200, 0.020394
Iteration 1210, 0.020402
Iteration 1220, 0.020445
Iteration 1230, 0.020429
Iteration 1240, 0.02038
Iteration 1250, 0.02041
Iteration 1260, 0.020367
Iteration 1270, 0.02039
Iteration 1280, 0.020411
Iteration 1290, 0.021083
Iteration 1300, 0.020597
Iteration 1310, 0.020469
Iteration 1320, 0.020394
Iteration 1330, 0.020418
Iteration 1340, 0.020381
Iteration 1350, 0.020379
Iteration 1360, 0.020423
Iteration 1370, 0.020407
Iteration 1380, 0.020433
Iteration 1390, 0.020415
Iteration 1400, 0.020403
Iteration 1410, 0.020858
Iteration 1420, 0.020412
Iteration 1430, 0.020472
Iteration 1440, 0.020482
Iteration 1450, 0.020575
Iteration 1460, 0.020431
Iteration 1470, 0.020436
Iteration 1480, 0.020428
Iteration 1490, 0.020379
Iteration 1500, 0.020598
Iteration 1510, 0.020625
Iteration 1520, 0.020502
Iteration 1530, 0.020411
Iteration 1540, 0.020303
Iteration 1550, 0.020171
Iteration 1560, 0.020137
Iteration 1570, 0.020181
Iteration 1580, 0.020084
Iteration 1590, 0.02011
Iteration 1600, 0.020511
Iteration 1610, 0.020272
Iteration 1620, 0.020226
Iteration 1630, 0.020415
Iteration 1640, 0.020375
Iteration 1650, 0.020434
Iteration 1660, 0.020179
Iteration 1670, 0.020448
Iteration 1680, 0.020146
Iteration 1690, 0.020511
Iteration 1700, 0.020353
Iteration 1710, 0.019857
Iteration 1720, 0.020156
Iteration 1730, 0.020416
Iteration 1740, 0.020384
Iteration 1750, 0.020153
Iteration 1760, 0.020091
Iteration 1770, 0.020247
Iteration 1780, 0.020336
Iteration 1790, 0.020037
Iteration 1800, 0.020055
Iteration 1810, 0.020353
Iteration 1820, 0.020224
Iteration 1830, 0.020101
Iteration 1840, 0.020249
Iteration 1850, 0.020314
Iteration 1860, 0.019979
Iteration 1870, 0.020271
Iteration 1880, 0.020188
Iteration 1890, 0.020313
Iteration 1900, 0.020199
Iteration 1910, 0.020156
Iteration 1920, 0.020353
Iteration 1930, 0.020302
Iteration 1940, 0.020191
Iteration 1950, 0.020298
Iteration 1960, 0.020332
Iteration 1970, 0.020309
Iteration 1980, 0.020375
Iteration 1990, 0.020293
Iteration 2000, 0.020211
Iteration 2010, 0.020301
Iteration 2020, 0.020207
Iteration 2030, 0.019655
Iteration 2040, 0.020334
Iteration 2050, 0.02044
Iteration 2060, 0.020156
Iteration 2070, 0.020176
Iteration 2080, 0.020427
Iteration 2090, 0.020431
Iteration 2100, 0.020768
Iteration 2110, 0.020708
Iteration 2120, 0.020558
Iteration 2130, 0.02034
Iteration 2140, 0.020538
Iteration 2150, 0.020551
Iteration 2160, 0.020551
Iteration 2170, 0.020599
Iteration 2180, 0.020622
Iteration 2190, 0.020561
Iteration 2200, 0.02054
Iteration 2210, 0.020467
Iteration 2220, 0.020507
Iteration 2230, 0.020556
Iteration 2240, 0.02017
Iteration 2250, 0.020415
Iteration 2260, 0.020105
Iteration 2270, 0.020311
Iteration 2280, 0.020125
Iteration 2290, 0.020301
Iteration 2300, 0.020192
Iteration 2310, 0.020473
Iteration 2320, 0.020451
Iteration 2330, 0.020966
Iteration 2340, 0.021434
Iteration 2350, 0.020706
Iteration 2360, 0.020397
Iteration 2370, 0.020959
Iteration 2380, 0.020857
Iteration 2390, 0.020455
Iteration 2400, 0.020657
Iteration 2410, 0.025192
Iteration 2420, 0.022833
Iteration 2430, 0.02165
Iteration 2440, 0.021867
Iteration 2450, 0.022975
Iteration 2460, 0.021563
Iteration 2470, 0.020991
Iteration 2480, 0.02142
Iteration 2490, 0.02045
Iteration 2500, 0.021486
Iteration 2510, 0.021249
Iteration 2520, 0.021414
Iteration 2530, 0.020706
Iteration 2540, 0.022141
Iteration 2550, 0.020885
Iteration 2560, 0.020666
Iteration 2570, 0.021323
Iteration 2580, 0.021483
Iteration 2590, 0.020799
Iteration 2600, 0.021412
Iteration 2610, 0.020852
