# Info, Time [s]
Iteration 10, 0.000143
Iteration 20, 2.9e-05
Iteration 30, 2e-05
Iteration 40, 2.6e-05
Iteration 50, 3.1e-05
Iteration 60, 3.2e-05
Iteration 70, 2.9e-05
Iteration 80, 2.8e-05
Iteration 90, 1.3e-05
Iteration 100, 1.2e-05
Iteration 110, 1.2e-05
Iteration 120, 1.3e-05
Iteration 130, 1.2e-05
Iteration 140, 1.2e-05
Iteration 150, 1.3e-05
Iteration 160, 1.2e-05
Iteration 170, 1.2e-05
Iteration 180, 1.2e-05
Iteration 190, 2.8e-05
Iteration 200, 2.8e-05
Iteration 210, 2.8e-05
Iteration 220, 2.8e-05
Iteration 230, 1.1e-05
Iteration 240, 1.3e-05
Iteration 250, 1.2e-05
Iteration 260, 1.3e-05
Iteration 270, 1.3e-05
Iteration 280, 1.2e-05
Iteration 290, 1.3e-05
Iteration 300, 1.3e-05
Iteration 310, 1.2e-05
Iteration 320, 1.3e-05
Iteration 330, 1.3e-05
Iteration 340, 1.3e-05
Iteration 350, 2.8e-05
Iteration 360, 2.8e-05
Iteration 370, 2.8e-05
Iteration 380, 2.9e-05
Iteration 390, 2.9e-05
Iteration 400, 2.8e-05
Iteration 410, 2.8e-05
Iteration 420, 2.8e-05
Iteration 430, 2.8e-05
Iteration 440, 2.8e-05
Iteration 450, 2.8e-05
Iteration 460, 2.9e-05
Iteration 470, 2.8e-05
Iteration 480, 1.5e-05
Iteration 490, 1.5e-05
Iteration 500, 1.5e-05
Iteration 510, 1.5e-05
Iteration 520, 1.5e-05
Iteration 530, 1.5e-05
Iteration 540, 1.5e-05
Iteration 550, 1.5e-05
Iteration 560, 1.5e-05
Iteration 570, 1.5e-05
Iteration 580, 1.5e-05
Iteration 590, 1.5e-05
Iteration 600, 1.5e-05
Iteration 610, 1.5e-05
Iteration 620, 1.5e-05
Iteration 630, 1.5e-05
Iteration 640, 1.5e-05
Iteration 650, 1.5e-05
Iteration 660, 1.5e-05
Iteration 670, 1.5e-05
Iteration 680, 1.5e-05
Iteration 690, 1.5e-05
Iteration 700, 1.3e-05
Iteration 710, 1.6e-05
Iteration 720, 1.5e-05
Iteration 730, 1.5e-05
Iteration 740, 1.5e-05
Iteration 750, 1.5e-05
Iteration 760, 1.5e-05
Iteration 770, 1.5e-05
Iteration 780, 1.3e-05
Iteration 790, 1.3e-05
Iteration 800, 1.3e-05
Iteration 810, 1.3e-05
Iteration 820, 1.3e-05
Iteration 830, 1.3e-05
Iteration 840, 1.2e-05
Iteration 850, 1.3e-05
Iteration 860, 1.3e-05
Iteration 870, 1.3e-05
Iteration 880, 1.3e-05
Iteration 890, 1.2e-05
Iteration 900, 1.3e-05
Iteration 910, 1.2e-05
Iteration 920, 1.2e-05
Iteration 930, 1.2e-05
Iteration 940, 1.3e-05
Iteration 950, 1.2e-05
Iteration 960, 1.2e-05
Iteration 970, 1.3e-05
Iteration 980, 2.2e-05
Iteration 990, 1.5e-05
Iteration 1000, 1.6e-05
Total time, 0.01419
