# Info, Time [s]
Iteration 10, 0.020493
Iteration 20, 0.02006
Iteration 30, 0.020331
Iteration 40, 0.020335
Iteration 50, 0.020302
Iteration 60, 0.020243
Iteration 70, 0.020272
Iteration 80, 0.019911
Iteration 90, 0.019997
Iteration 100, 0.02005
Iteration 110, 0.020021
Iteration 120, 0.020051
Iteration 130, 0.019445
Iteration 140, 0.01867
Iteration 150, 0.018542
Iteration 160, 0.019152
Iteration 170, 0.019093
Iteration 180, 0.018719
Iteration 190, 0.018071
Iteration 200, 0.018485
Iteration 210, 0.018134
Iteration 220, 0.017701
Iteration 230, 0.018068
Iteration 240, 0.016981
Iteration 250, 0.017545
Iteration 260, 0.017094
Iteration 270, 0.0172
Iteration 280, 0.016907
Iteration 290, 0.016258
Iteration 300, 0.015987
Iteration 310, 0.01604
Iteration 320, 0.015811
Iteration 330, 0.016636
Iteration 340, 0.015727
Iteration 350, 0.015394
Iteration 360, 0.015388
Iteration 370, 0.015116
Iteration 380, 0.014724
Iteration 390, 0.014816
Iteration 400, 0.014621
Iteration 410, 0.014279
Iteration 420, 0.014337
Iteration 430, 0.013646
Iteration 440, 0.014053
Iteration 450, 0.01379
Iteration 460, 0.013668
Iteration 470, 0.013258
Iteration 480, 0.013296
Iteration 490, 0.013278
Iteration 500, 0.013047
Iteration 510, 0.012509
Iteration 520, 0.012568
Iteration 530, 0.012304
Iteration 540, 0.011852
Iteration 550, 0.011986
Iteration 560, 0.011855
Iteration 570, 0.011696
Iteration 580, 0.011402
Iteration 590, 0.011402
Iteration 600, 0.011369
Iteration 610, 0.011237
Iteration 620, 0.01095
Iteration 630, 0.010662
Iteration 640, 0.010928
Iteration 650, 0.010547
Iteration 660, 0.010635
Iteration 670, 0.01038
Iteration 680, 0.010033
Iteration 690, 0.009742
Iteration 700, 0.009224
Iteration 710, 0.009548
Iteration 720, 0.008937
Iteration 730, 0.009193
Iteration 740, 0.009232
Iteration 750, 0.008776
Iteration 760, 0.008897
Iteration 770, 0.008863
Iteration 780, 0.008996
Iteration 790, 0.008879
Iteration 800, 0.008629
Iteration 810, 0.008402
Iteration 820, 0.008355
Iteration 830, 0.008383
Iteration 840, 0.008213
Iteration 850, 0.008192
Iteration 860, 0.007821
Iteration 870, 0.007748
Iteration 880, 0.007709
Iteration 890, 0.007619
Iteration 900, 0.007157
Iteration 910, 0.007259
Iteration 920, 0.007305
Iteration 930, 0.007245
Iteration 940, 0.006779
Iteration 950, 0.007078
Iteration 960, 0.00697
Iteration 970, 0.006916
Iteration 980, 0.006702
Iteration 990, 0.006628
Iteration 1000, 0.006472
Iteration 1010, 0.006409
Iteration 1020, 0.006288
Iteration 1030, 0.006219
Iteration 1040, 0.006052
Iteration 1050, 0.005938
Iteration 1060, 0.005918
Iteration 1070, 0.005818
Iteration 1080, 0.005804
Iteration 1090, 0.005648
Iteration 1100, 0.005448
Iteration 1110, 0.005523
Iteration 1120, 0.005578
Iteration 1130, 0.005278
Iteration 1140, 0.005253
Iteration 1150, 0.005179
Iteration 1160, 0.005001
Iteration 1170, 0.004914
Iteration 1180, 0.004905
Iteration 1190, 0.004621
Iteration 1200, 0.004605
Iteration 1210, 0.004563
Iteration 1220, 0.004403
Iteration 1230, 0.004318
Iteration 1240, 0.004175
Iteration 1250, 0.004147
Iteration 1260, 0.004175
Iteration 1270, 0.00393
Iteration 1280, 0.003909
Iteration 1290, 0.003815
Iteration 1300, 0.003841
Iteration 1310, 0.003724
Iteration 1320, 0.003568
Iteration 1330, 0.003518
Iteration 1340, 0.003298
Iteration 1350, 0.003412
Iteration 1360, 0.003442
Iteration 1370, 0.003138
Iteration 1380, 0.003179
Iteration 1390, 0.003132
Iteration 1400, 0.003033
Iteration 1410, 0.002882
Iteration 1420, 0.002853
Iteration 1430, 0.002864
Iteration 1440, 0.00276
Iteration 1450, 0.002725
Iteration 1460, 0.00272
Iteration 1470, 0.002742
Iteration 1480, 0.002665
Iteration 1490, 0.002618
Iteration 1500, 0.00258
Iteration 1510, 0.002535
Iteration 1520, 0.002537
Iteration 1530, 0.002504
Iteration 1540, 0.002376
Iteration 1550, 0.002329
Iteration 1560, 0.002312
Iteration 1570, 0.002239
Iteration 1580, 0.002254
Iteration 1590, 0.002241
Iteration 1600, 0.002189
Iteration 1610, 0.002054
Iteration 1620, 0.002089
Iteration 1630, 0.002053
Iteration 1640, 0.002017
Iteration 1650, 0.001981
Iteration 1660, 0.001956
Iteration 1670, 0.001946
Iteration 1680, 0.001889
Iteration 1690, 0.00189
Iteration 1700, 0.001831
Iteration 1710, 0.001824
Iteration 1720, 0.001813
Iteration 1730, 0.001792
Iteration 1740, 0.001747
Iteration 1750, 0.001805
Iteration 1760, 0.00171
Iteration 1770, 0.00166
Iteration 1780, 0.001638
Iteration 1790, 0.001611
Iteration 1800, 0.001624
Iteration 1810, 0.001607
Iteration 1820, 0.001588
Iteration 1830, 0.001651
Iteration 1840, 0.001473
Iteration 1850, 0.001592
Iteration 1860, 0.001529
Iteration 1870, 0.001498
Iteration 1880, 0.001481
Iteration 1890, 0.001439
Iteration 1900, 0.001432
Iteration 1910, 0.00145
Iteration 1920, 0.001458
Iteration 1930, 0.001389
Iteration 1940, 0.00138
Iteration 1950, 0.001326
Iteration 1960, 0.001461
Iteration 1970, 0.001309
Iteration 1980, 0.001308
Iteration 1990, 0.001321
Iteration 2000, 0.001268
Iteration 2010, 0.001225
Iteration 2020, 0.001278
Iteration 2030, 0.001204
Iteration 2040, 0.001149
Iteration 2050, 0.001158
Iteration 2060, 0.001137
Iteration 2070, 0.00115
Iteration 2080, 0.001128
Iteration 2090, 0.001164
Iteration 2100, 0.001052
Iteration 2110, 0.001027
Iteration 2120, 0.001057
Iteration 2130, 0.00106
Iteration 2140, 0.000987
Iteration 2150, 0.000954
Iteration 2160, 0.000995
Iteration 2170, 0.000925
Iteration 2180, 0.000939
Iteration 2190, 0.000866
Iteration 2200, 0.000861
Iteration 2210, 0.000859
Iteration 2220, 0.000815
Iteration 2230, 0.000808
Iteration 2240, 0.000808
Iteration 2250, 0.000817
Iteration 2260, 0.000798
Iteration 2270, 0.000784
Iteration 2280, 0.000768
Iteration 2290, 0.000766
Iteration 2300, 0.00075
Iteration 2310, 0.000747
Iteration 2320, 0.000722
Iteration 2330, 0.000723
Iteration 2340, 0.000725
Iteration 2350, 0.000705
Iteration 2360, 0.000692
Iteration 2370, 0.000667
Iteration 2380, 0.00064
Iteration 2390, 0.000652
Iteration 2400, 0.000645
Iteration 2410, 0.000637
Iteration 2420, 0.000623
Iteration 2430, 0.000638
Iteration 2440, 0.00061
Iteration 2450, 0.000596
Iteration 2460, 0.000581
Iteration 2470, 0.000614
Iteration 2480, 0.000568
Iteration 2490, 0.000554
Iteration 2500, 0.000547
Iteration 2510, 0.000577
Iteration 2520, 0.000541
Iteration 2530, 0.000514
Iteration 2540, 0.000505
Iteration 2550, 0.000515
Iteration 2560, 0.000503
Iteration 2570, 0.000514
Iteration 2580, 0.000502
Iteration 2590, 0.000501
Iteration 2600, 0.000489
Iteration 2610, 0.000492
Iteration 2620, 0.000471
Iteration 2630, 0.000479
Iteration 2640, 0.000465
Iteration 2650, 0.000455
Iteration 2660, 0.000439
Iteration 2670, 0.000439
Iteration 2680, 0.000434
Iteration 2690, 0.000421
Iteration 2700, 0.000409
Iteration 2710, 0.000431
Iteration 2720, 0.000427
Iteration 2730, 0.00041
Iteration 2740, 0.000404
Iteration 2750, 0.000404
Iteration 2760, 0.000393
Iteration 2770, 0.000393
Iteration 2780, 0.000389
Iteration 2790, 0.000387
Iteration 2800, 0.000382
Iteration 2810, 0.00037
Iteration 2820, 0.000394
Iteration 2830, 0.00037
Iteration 2840, 0.00036
Iteration 2850, 0.000355
Iteration 2860, 0.000349
Iteration 2870, 0.000343
Iteration 2880, 0.000337
Iteration 2890, 0.000325
Iteration 2900, 0.000331
Iteration 2910, 0.000317
Iteration 2920, 0.000307
Iteration 2930, 0.000303
Iteration 2940, 0.000298
